    student0        58.14
    student1        85.67
    student2        68.29
    student3        83.80
    student4        63.77
    student5        81.38
    student6        60.35
    student7        67.58
    student8        63.85
    student9        63.99
   student10        76.27
   student11        57.15
   student12        81.69
   student13        87.88
   student14        76.41
   student15        78.61
   student16        47.80
   student17        78.48
   student18        60.74
   student19        52.19
   student20        70.01
   student21        61.13
   student22        72.82
   student23        76.33
   student24        60.11
   student25        78.53
   student26        72.95
   student27        74.49
   student28        56.44
   student29        66.87
   student30        72.07
   student31        78.28
   student32        78.85
   student33        69.63
   student34        53.44
   student35        74.27
   student36        54.48
   student37        72.62
   student38        72.53
   student39        73.40
   student40        65.74
   student41        68.72
   student42        68.62
   student43        77.86
   student44        72.35
   student45        73.55
   student46        77.24
   student47        73.36
   student48        59.13
   student49        59.74
   student50        67.61
   student51        61.96
   student52        72.31
   student53        86.49
   student54        89.52
   student55        68.74
   student56        74.81
   student57        88.75
   student58        78.63
   student59        54.66
   student60        91.44
   student61        68.08
   student62        62.16
   student63        60.59
   student64        88.89
   student65        62.58
   student66        58.70
   student67        73.55
   student68        65.72
   student69        65.25
   student70        51.38
   student71        66.15
   student72        68.26
   student73        60.08
   student74        76.85
   student75        66.50
   student76        67.25
   student77        56.91
   student78        63.68
   student79        74.02
   student80        41.62
   student81        52.56
   student82        68.68
   student83        58.75
   student84        77.81
   student85        79.59
   student86        62.41
   student87        83.22
   student88        70.56
   student89        70.22
   student90        67.50
   student91        69.07
   student92        52.88
   student93        80.16
   student94        62.58
   student95        62.77
   student96        48.64
   student97        78.83
   student98        66.15
   student99        78.00
  student100        56.47
  student101        67.59
  student102        67.51
  student103        62.11
  student104        79.80
  student105        68.55
  student106        71.10
  student107        65.74
  student108        78.91
  student109        73.36
  student110        58.30
  student111        81.71
  student112        71.65
  student113        76.44
  student114        66.18
  student115        71.65
  student116        75.29
  student117        78.18
  student118        36.55
  student119        61.76
  student120        79.63
  student121        75.33
  student122        60.25
  student123        66.77
  student124        77.55
  student125        63.14
  student126        77.46
  student127        68.16
  student128        68.79
  student129        60.75
  student130        79.93
  student131        71.62
  student132        61.81
  student133        72.99
  student134        62.93
  student135        85.76
  student136        62.89
  student137        56.49
  student138        53.69
  student139        71.90
  student140        53.19
  student141        79.35
  student142        69.11
  student143        72.40
  student144        75.10
  student145        77.13
  student146        49.31
  student147        67.97
  student148        61.41
  student149        61.29
  student150        51.17
  student151        61.81
  student152        75.98
  student153        84.85
  student154        62.15
  student155        63.59
  student156        65.07
  student157        51.28
  student158        78.33
  student159        59.25
  student160        74.84
  student161        69.73
  student162        71.82
  student163        46.35
  student164        88.73
  student165        66.58
  student166        72.80
  student167        72.66
  student168        77.78
  student169        56.81
  student170        69.89
  student171        74.45
  student172        70.67
  student173        58.99
  student174        79.74
  student175        66.11
  student176        66.13
  student177        74.54
  student178        73.42
  student179        82.92
  student180        67.18
  student181        83.94
  student182        54.93
  student183        55.17
  student184        67.78
  student185        73.12
  student186        64.11
  student187        62.82
  student188        77.50
  student189        62.34
  student190        72.62
  student191        68.68
  student192        86.42
  student193        59.87
  student194        73.88
  student195        73.40
  student196        65.10
  student197        61.50
  student198        80.28
  student199        72.83
  student200        64.17
  student201        78.87
  student202        61.36
  student203        54.80
  student204        84.64
  student205        88.67
  student206        98.29
  student207        66.51
  student208        73.37
  student209        78.64
  student210        68.45
  student211        61.07
  student212        55.24
  student213        54.25
  student214        57.53
  student215        72.50
  student216        85.02
  student217        63.00
  student218        79.00
  student219        69.23
  student220        71.05
  student221        60.42
  student222        61.58
  student223        65.66
  student224        65.12
  student225        63.53
  student226        85.39
  student227        65.55
  student228        81.88
  student229        88.39
  student230        58.92
  student231        75.52
  student232        81.31
  student233        70.88
  student234        71.07
  student235        79.38
  student236        79.51
  student237        69.09
  student238        56.00
  student239        95.96
  student240        69.49
  student241        77.25
  student242        71.62
  student243        73.25
  student244        78.44
  student245        73.06
  student246        65.17
  student247        74.96
  student248        70.66
  student249        72.85
  student250        87.74
  student251        61.79
  student252        58.48
  student253        76.76
  student254        59.51
  student255        71.21
  student256        67.72
  student257        67.19
  student258        88.16
  student259        62.42
  student260        60.60
  student261        75.14
  student262        68.70
  student263        61.41
  student264        73.17
  student265        74.83
  student266        58.67
  student267        59.92
  student268        57.76
  student269        67.44
  student270        77.44
  student271        55.57
  student272        67.28
  student273        71.62
  student274        59.61
  student275        60.99
  student276        75.20
  student277        84.40
  student278        67.38
  student279        71.28
  student280        85.54
  student281        68.77
  student282        64.01
  student283        77.91
  student284        48.52
  student285        85.48
  student286        50.81
  student287        92.09
  student288        52.04
  student289        51.32
  student290        69.83
  student291        99.65
  student292        68.88
  student293        69.92
  student294        73.57
  student295        63.62
  student296        71.29
  student297        66.13
  student298        86.23
  student299        50.10
  student300        57.07
  student301        76.16
  student302        71.27
  student303        87.90
  student304        72.07
  student305        65.78
  student306        60.92
  student307        86.51
  student308        69.95
  student309        82.13
  student310        90.90
  student311        85.35
  student312        61.66
  student313        73.69
  student314        71.56
  student315        70.01
  student316        77.01
  student317        61.87
  student318        83.64
  student319        58.91
  student320        72.16
  student321        54.80
  student322        53.27
  student323        59.67
  student324        76.45
  student325        72.00
  student326        71.10
  student327        56.09
  student328        79.44
