country	year	pop	continent	lifeExp	gdpPercap
Afghanistan	1957	9240934	Asia	30.332	820.8530296
Albania	1957	1476505	Europe	59.28	1942.284244
Algeria	1957	10270856	Africa	45.685	3013.976023
Angola	1957	4561361	Africa	31.999	3827.940465
Argentina	1957	19610538	Americas	64.399	6856.856212
Australia	1957	9712569	Oceania	70.33	10949.64959
Austria	1957	6965860	Europe	67.48	8842.59803
Bahrain	1957	138655	Asia	53.832	11635.79945
Bangladesh	1957	51365468	Asia	39.348	661.6374577
Belgium	1957	8989111	Europe	69.24	9714.960623
Benin	1957	1925173	Africa	40.358	959.6010805
Bolivia	1957	3211738	Americas	41.89	2127.686326
Bosnia_and_Herzegovina	1957	3076000	Europe	58.45	1353.989176
Botswana	1957	474639	Africa	49.618	918.2325349
Brazil	1957	65551171	Americas	53.285	2487.365989
Bulgaria	1957	7651254	Europe	66.61	3008.670727
Burkina_Faso	1957	4713416	Africa	34.906	617.1834648
Burundi	1957	2667518	Africa	40.533	379.5646281
Cambodia	1957	5322536	Asia	41.366	434.0383364
Cameroon	1957	5359923	Africa	40.428	1313.048099
Canada	1957	17010154	Americas	69.96	12489.95006
Central_African_Republic	1957	1392284	Africa	37.464	1190.844328
Chad	1957	2894855	Africa	39.881	1308.495577
Chile	1957	7048426	Americas	56.074	4315.622723
China	1957	637408000	Asia	50.54896	575.9870009
Colombia	1957	14485993	Americas	55.118	2323.805581
Comoros	1957	170928	Africa	42.46	1211.148548
Congo,_Dem._Rep.	1957	15577932	Africa	40.652	905.8602303
Congo,_Rep.	1957	940458	Africa	45.053	2315.056572
Costa_Rica	1957	1112300	Americas	60.026	2990.010802
Cote_d'Ivoire	1957	3300000	Africa	42.469	1500.895925
Croatia	1957	3991242	Europe	64.77	4338.231617
Cuba	1957	6640752	Americas	62.325	6092.174359
Czech_Republic	1957	9513758	Europe	69.03	8256.343918
Denmark	1957	4487831	Europe	71.81	11099.65935
Djibouti	1957	71851	Africa	37.328	2864.969076
Dominican_Republic	1957	2923186	Americas	49.828	1544.402995
Ecuador	1957	4058385	Americas	51.356	3780.546651
Egypt	1957	25009741	Africa	44.444	1458.915272
El_Salvador	1957	2355805	Americas	48.57	3421.523218
Equatorial_Guinea	1957	232922	Africa	35.983	426.0964081
Eritrea	1957	1542611	Africa	38.047	344.1618859
Ethiopia	1957	22815614	Africa	36.667	378.9041632
Finland	1957	4324000	Europe	67.49	7545.415386
France	1957	44310863	Europe	68.93	8662.834898
Gabon	1957	434904	Africa	38.999	4976.198099
Gambia	1957	323150	Africa	32.065	520.9267111
Germany	1957	71019069	Europe	69.1	10187.82665
Ghana	1957	6391288	Africa	44.779	1043.561537
Greece	1957	8096218	Europe	67.86	4916.299889
Guatemala	1957	3640876	Americas	44.142	2617.155967
Guinea	1957	2876726	Africa	34.558	576.2670245
Guinea-Bissau	1957	601095	Africa	33.489	431.7904566
Haiti	1957	3507701	Americas	40.696	1726.887882
Honduras	1957	1770390	Americas	44.665	2220.487682
Hong_Kong,_China	1957	2736300	Asia	64.75	3629.076457
Hungary	1957	9839000	Europe	66.41	6040.180011
Iceland	1957	165110	Europe	73.47	9244.001412
