country	year	pop	continent	lifeExp	gdpPercap
Afghanistan	1962	10267083	Asia	31.997	853.10071
Albania	1962	1728137	Europe	64.82	2312.888958
Algeria	1962	11000948	Africa	48.303	2550.81688
Angola	1962	4826015	Africa	34	4269.276742
Argentina	1962	21283783	Americas	65.142	7133.166023
Australia	1962	10794968	Oceania	70.93	12217.22686
Austria	1962	7129864	Europe	69.54	10750.72111
Bahrain	1962	171863	Asia	56.923	12753.27514
Bangladesh	1962	56839289	Asia	41.216	686.3415538
Belgium	1962	9218400	Europe	70.25	10991.20676
Benin	1962	2151895	Africa	42.618	949.4990641
Bolivia	1962	3593918	Americas	43.428	2180.972546
Bosnia_and_Herzegovina	1962	3349000	Europe	61.93	1709.683679
Botswana	1962	512764	Africa	51.52	983.6539764
Brazil	1962	76039390	Americas	55.665	3336.585802
Bulgaria	1962	8012946	Europe	69.51	4254.337839
Burkina_Faso	1962	4919632	Africa	37.814	722.5120206
Burundi	1962	2961915	Africa	42.045	355.2032273
Cambodia	1962	6083619	Asia	43.415	496.9136476
Cameroon	1962	5793633	Africa	42.643	1399.607441
Canada	1962	18985849	Americas	71.3	13462.48555
Central_African_Republic	1962	1523478	Africa	39.475	1193.068753
Chad	1962	3150417	Africa	41.716	1389.817618
Chile	1962	7961258	Americas	57.924	4519.094331
China	1962	665770000	Asia	44.50136	487.6740183
Colombia	1962	17009885	Americas	57.863	2492.351109
Comoros	1962	191689	Africa	44.467	1406.648278
Congo,_Dem._Rep.	1962	17486434	Africa	42.122	896.3146335
Congo,_Rep.	1962	1047924	Africa	48.435	2464.783157
Costa_Rica	1962	1345187	Americas	62.842	3460.937025
Cote_d'Ivoire	1962	3832408	Africa	44.93	1728.869428
Croatia	1962	4076557	Europe	67.13	5477.890018
Cuba	1962	7254373	Americas	65.246	5180.75591
Czech_Republic	1962	9620282	Europe	69.9	10136.86713
Denmark	1962	4646899	Europe	72.35	13583.31351
Djibouti	1962	89898	Africa	39.693	3020.989263
Dominican_Republic	1962	3453434	Americas	53.459	1662.137359
Ecuador	1962	4681707	Americas	54.64	4086.114078
Egypt	1962	28173309	Africa	46.992	1693.335853
El_Salvador	1962	2747687	Americas	52.307	3776.803627
Equatorial_Guinea	1962	249220	Africa	37.485	582.8419714
Eritrea	1962	1666618	Africa	40.158	380.9958433
Ethiopia	1962	25145372	Africa	40.059	419.4564161
Finland	1962	4491443	Europe	68.75	9371.842561
France	1962	47124000	Europe	70.51	10560.48553
Gabon	1962	455661	Africa	40.489	6631.459222
Gambia	1962	374020	Africa	33.896	599.650276
Germany	1962	73739117	Europe	70.3	12902.46291
Ghana	1962	7355248	Africa	46.452	1190.041118
Greece	1962	8448233	Europe	69.51	6017.190733
Guatemala	1962	4208858	Americas	46.954	2750.364446
Guinea	1962	3140003	Africa	35.753	686.3736739
Guinea-Bissau	1962	627820	Africa	34.488	522.0343725
Haiti	1962	3880130	Americas	43.59	1796.589032
Honduras	1962	2090162	Americas	48.041	2291.156835
Hong_Kong,_China	1962	3305200	Asia	67.65	4692.648272
Hungary	1962	10063000	Europe	67.96	7550.359877
Iceland	1962	182053	Europe	73.68	10350.15906
India	1962	4.54e+08	Asia	43.605	658.3471509
Indonesia	1962	99028000	Asia	42.518	849.2897701
Iran	1962	22874000	Asia	49.325	4187.329802
Iraq	1962	7240260	Asia	51.457	8341.737815
Ireland	1962	2830000	Europe	70.29	6631.597314
Israel	1962	2310904	Asia	69.39	7105.630706
Italy	1962	50843200	Europe	69.24	8243.58234
Jamaica	1962	1665128	Americas	65.61	5246.107524
Japan	1962	95831757	Asia	68.73	6576.649461
Jordan	1962	933559	Asia	48.126	2348.009158
Kenya	1962	8678557	Africa	47.949	896.9663732
Korea,_Dem._Rep.	1962	10917494	Asia	56.656	1621.693598
Korea,_Rep.	1962	26420307	Asia	55.292	1536.344387
Kuwait	1962	358266	Asia	60.47	95458.11176
Lebanon	1962	1886848	Asia	62.094	5714.560611
Lesotho	1962	893143	Africa	47.747	411.8006266
Liberia	1962	1112796	Africa	40.502	634.1951625
Libya	1962	1441863	Africa	47.808	6757.030816
Madagascar	1962	5703324	Africa	40.848	1643.38711
Malawi	1962	3628608	Africa	38.41	427.9010856
Malaysia	1962	8906385	Asia	55.737	2036.884944
Mali	1962	4690372	Africa	36.936	496.1743428
Mauritania	1962	1146757	Africa	44.248	1055.896036
Mauritius	1962	701016	Africa	60.246	2529.067487
Mexico	1962	41121485	Americas	58.299	4581.609385
Mongolia	1962	1010280	Asia	48.251	1056.353958
Montenegro	1962	474528	Europe	63.728	4649.593785
Morocco	1962	13056604	Africa	47.924	1566.353493
Mozambique	1962	7788944	Africa	36.161	556.6863539
Myanmar	1962	23634436	Asia	45.108	388
Namibia	1962	621392	Africa	48.386	3173.215595
Nepal	1962	10332057	Asia	39.393	652.3968593
Netherlands	1962	11805689	Europe	73.23	12790.84956
New_Zealand	1962	2488550	Oceania	71.24	13175.678
Nicaragua	1962	1590597	Americas	48.632	3634.364406
Niger	1962	4076008	Africa	39.487	997.7661127
Nigeria	1962	41871351	Africa	39.36	1150.927478
Norway	1962	3638919	Europe	73.47	13450.40151
Oman	1962	628164	Asia	43.165	2924.638113
Pakistan	1962	53100671	Asia	47.67	803.3427418
Panama	1962	1215725	Americas	61.817	3536.540301
Paraguay	1962	2009813	Americas	64.361	2148.027146
Peru	1962	10516500	Americas	49.096	4957.037982
Philippines	1962	30325264	Asia	54.757	1649.552153
Poland	1962	30329617	Europe	67.64	5338.752143
Portugal	1962	9019800	Europe	64.39	4727.954889
Puerto_Rico	1962	2448046	Americas	69.62	5108.34463
Reunion	1962	358900	Africa	57.666	3173.72334
Romania	1962	18680721	Europe	66.8	4734.997586
Rwanda	1962	3051242	Africa	43	597.4730727
Sao_Tome_and_Principe	1962	65345	Africa	51.893	1071.551119
Saudi_Arabia	1962	4943029	Asia	45.914	11626.41975
Senegal	1962	3430243	Africa	41.454	1654.988723
Serbia	1962	7616060	Europe	64.531	6289.629157
Sierra_Leone	1962	2467895	Africa	32.767	1116.639877
Singapore	1962	1750200	Asia	65.798	3674.735572
Slovak_Republic	1962	4237384	Europe	70.33	7481.107598
