country	year	pop	continent	lifeExp	gdpPercap
Afghanistan	1992	16317921	Asia	41.674	649.3413952
Albania	1992	3326498	Europe	71.581	2497.437901
Algeria	1992	26298373	Africa	67.744	5023.216647
Angola	1992	8735988	Africa	40.647	2627.845685
Argentina	1992	33958947	Americas	71.868	9308.41871
Australia	1992	17481977	Oceania	77.56	23424.76683
Austria	1992	7914969	Europe	76.04	27042.01868
Bahrain	1992	529491	Asia	72.601	19035.57917
Bangladesh	1992	113704579	Asia	56.018	837.8101643
Belgium	1992	10045622	Europe	76.46	25575.57069
Benin	1992	4981671	Africa	53.919	1191.207681
Bolivia	1992	6893451	Americas	59.957	2961.699694
Bosnia_and_Herzegovina	1992	4256013	Europe	72.178	2546.781445
Botswana	1992	1342614	Africa	62.745	7954.111645
Brazil	1992	155975974	Americas	67.057	6950.283021
Bulgaria	1992	8658506	Europe	71.19	6302.623438
Burkina_Faso	1992	8878303	Africa	50.26	931.7527731
Burundi	1992	5809236	Africa	44.736	631.6998778
Cambodia	1992	10150094	Asia	55.803	682.3031755
Cameroon	1992	12467171	Africa	54.314	1793.163278
Canada	1992	28523502	Americas	77.95	26342.88426
Central_African_Republic	1992	3265124	Africa	49.396	747.9055252
Chad	1992	6429417	Africa	51.724	1058.0643
Chile	1992	13572994	Americas	74.126	7596.125964
China	1992	1164970000	Asia	68.69	1655.784158
Colombia	1992	34202721	Americas	68.421	5444.648617
Comoros	1992	454429	Africa	57.939	1246.90737
Congo,_Dem._Rep.	1992	41672143	Africa	45.548	457.7191807
Congo,_Rep.	1992	2409073	Africa	56.433	4016.239529
Costa_Rica	1992	3173216	Americas	75.713	6160.416317
Cote_d'Ivoire	1992	12772596	Africa	52.044	1648.073791
Croatia	1992	4494013	Europe	72.527	8447.794873
Cuba	1992	10723260	Americas	74.414	5592.843963
Czech_Republic	1992	10315702	Europe	72.4	14297.02122
Denmark	1992	5171393	Europe	75.33	26406.73985
Djibouti	1992	384156	Africa	51.604	2377.156192
Dominican_Republic	1992	7351181	Americas	68.457	3044.214214
Ecuador	1992	10748394	Americas	69.613	7103.702595
Egypt	1992	59402198	Africa	63.674	3794.755195
El_Salvador	1992	5274649	Americas	66.798	4444.2317
Equatorial_Guinea	1992	387838	Africa	47.545	1132.055034
Eritrea	1992	3668440	Africa	49.991	582.8585102
