country	year	pop	continent	lifeExp	gdpPercap
Afghanistan	1987	13867957	Asia	40.822	852.3959448
Albania	1987	3075321	Europe	72	3738.932735
Algeria	1987	23254956	Africa	65.799	5681.358539
Angola	1987	7874230	Africa	39.906	2430.208311
Argentina	1987	31620918	Americas	70.774	9139.671389
Australia	1987	16257249	Oceania	76.32	21888.88903
Austria	1987	7578903	Europe	74.94	23687.82607
Bahrain	1987	454612	Asia	70.75	18524.02406
Bangladesh	1987	103764241	Asia	52.819	751.9794035
Belgium	1987	9870200	Europe	75.35	22525.56308
Benin	1987	4243788	Africa	52.337	1225.85601
Bolivia	1987	6156369	Americas	57.251	2753.69149
Bosnia_and_Herzegovina	1987	4338977	Europe	71.14	4314.114757
Botswana	1987	1151184	Africa	63.622	6205.88385
Brazil	1987	142938076	Americas	65.205	7807.095818
Bulgaria	1987	8971958	Europe	71.34	8239.854824
Burkina_Faso	1987	7586551	Africa	49.557	912.0631417
Burundi	1987	5126023	Africa	48.211	621.8188189
Cambodia	1987	8371791	Asia	53.914	683.8955732
Cameroon	1987	10780667	Africa	54.985	2602.664206
Canada	1987	26549700	Americas	76.86	26626.51503
Central_African_Republic	1987	2840009	Africa	50.485	844.8763504
Chad	1987	5498955	Africa	51.051	952.386129
Chile	1987	12463354	Americas	72.492	5547.063754
China	1987	1084035000	Asia	67.274	1378.904018
Colombia	1987	30964245	Americas	67.768	4903.2191
Comoros	1987	395114	Africa	54.926	1315.980812
Congo,_Dem._Rep.	1987	35481645	Africa	47.412	672.774812
Congo,_Rep.	1987	2064095	Africa	57.47	4201.194937
Costa_Rica	1987	2799811	Americas	74.752	5629.915318
Cote_d'Ivoire	1987	10761098	Africa	54.655	2156.956069
Croatia	1987	4484310	Europe	71.52	13822.58394
Cuba	1987	10239839	Americas	74.174	7532.924763
Czech_Republic	1987	10311597	Europe	71.58	16310.4434
Denmark	1987	5127024	Europe	74.8	25116.17581
Djibouti	1987	311025	Africa	50.04	2880.102568
Dominican_Republic	1987	6655297	Americas	66.046	2899.842175
Ecuador	1987	9545158	Americas	67.231	6481.776993
Egypt	1987	52799062	Africa	59.797	3885.46071
El_Salvador	1987	4842194	Americas	63.154	4140.442097
Equatorial_Guinea	1987	341244	Africa	45.664	966.8968149
Eritrea	1987	2915959	Africa	46.453	521.1341333
Ethiopia	1987	42999530	Africa	46.684	573.7413142
Finland	1987	4931729	Europe	74.83	21141.01223
France	1987	55630100	Europe	76.34	22066.44214
Gabon	1987	880397	Africa	60.19	11864.40844
Gambia	1987	848406	Africa	49.265	611.6588611
Germany	1987	77718298	Europe	74.847	24639.18566
Ghana	1987	14168101	Africa	55.729	847.0061135
Greece	1987	9974490	Europe	76.67	16120.52839
