country	year	pop	continent	lifeExp	gdpPercap
Afghanistan	2002	25268405	Asia	42.129	726.7340548
Albania	2002	3508512	Europe	75.651	4604.211737
Algeria	2002	31287142	Africa	70.994	5288.040382
Angola	2002	10866106	Africa	41.003	2773.287312
Argentina	2002	38331121	Americas	74.34	8797.640716
Australia	2002	19546792	Oceania	80.37	30687.75473
Austria	2002	8148312	Europe	78.98	32417.60769
Bahrain	2002	656397	Asia	74.795	23403.55927
Bangladesh	2002	135656790	Asia	62.013	1136.39043
Belgium	2002	10311970	Europe	78.32	30485.88375
Benin	2002	7026113	Africa	54.406	1372.877931
Bolivia	2002	8445134	Americas	63.883	3413.26269
Bosnia_and_Herzegovina	2002	4165416	Europe	74.09	6018.975239
Botswana	2002	1630347	Africa	46.634	11003.60508
Brazil	2002	179914212	Americas	71.006	8131.212843
Bulgaria	2002	7661799	Europe	72.14	7696.777725
Burkina_Faso	2002	12251209	Africa	50.65	1037.645221
Burundi	2002	7021078	Africa	47.36	446.4035126
Cambodia	2002	12926707	Asia	56.752	896.2260153
Cameroon	2002	15929988	Africa	49.856	1934.011449
Canada	2002	31902268	Americas	79.77	33328.96507
Central_African_Republic	2002	4048013	Africa	43.308	738.6906068
Chad	2002	8835739	Africa	50.525	1156.18186
Chile	2002	15497046	Americas	77.86	10778.78385
China	2002	1280400000	Asia	72.028	3119.280896
Colombia	2002	41008227	Americas	71.682	5755.259962
Comoros	2002	614382	Africa	62.974	1075.811558
Congo,_Dem._Rep.	2002	55379852	Africa	44.966	241.1658765
Congo,_Rep.	2002	3328795	Africa	52.97	3484.06197
Costa_Rica	2002	3834934	Americas	78.123	7723.447195
Cote_d'Ivoire	2002	16252726	Africa	46.832	1648.800823
Croatia	2002	4481020	Europe	74.876	11628.38895
Cuba	2002	11226999	Americas	77.158	6340.646683
Czech_Republic	2002	10256295	Europe	75.51	17596.21022
Denmark	2002	5374693	Europe	77.18	32166.50006
Djibouti	2002	447416	Africa	53.373	1908.260867
Dominican_Republic	2002	8650322	Americas	70.847	4563.808154
Ecuador	2002	12921234	Americas	74.173	5773.044512
Egypt	2002	73312559	Africa	69.806	4754.604414
El_Salvador	2002	6353681	Americas	70.734	5351.568666
Equatorial_Guinea	2002	495627	Africa	49.348	7703.4959
Eritrea	2002	4414865	Africa	55.24	765.3500015
Ethiopia	2002	67946797	Africa	50.725	530.0535319
Finland	2002	5193039	Europe	78.37	28204.59057
France	2002	59925035	Europe	79.59	28926.03234
Gabon	2002	1299304	Africa	56.761	12521.71392
Gambia	2002	1457766	Africa	58.041	660.5855997
Germany	2002	82350671	Europe	78.67	30035.80198
Ghana	2002	20550751	Africa	58.453	1111.984578
Greece	2002	10603863	Europe	78.256	22514.2548
Guatemala	2002	11178650	Americas	68.978	4858.347495
Guinea	2002	8807818	Africa	53.676	945.5835837
Guinea-Bissau	2002	1332459	Africa	45.504	575.7047176
Haiti	2002	7607651	Americas	58.137	1270.364932
Honduras	2002	6677328	Americas	68.565	3099.72866
Hong_Kong,_China	2002	6762476	Asia	81.495	30209.01516
Hungary	2002	10083313	Europe	72.59	14843.93556
Iceland	2002	288030	Europe	80.5	31163.20196
