country	year	pop	continent	lifeExp	gdpPercap
Afghanistan	1967	11537966	Asia	34.02	836.1971382
Albania	1967	1984060	Europe	66.22	2760.196931
Algeria	1967	12760499	Africa	51.407	3246.991771
Angola	1967	5247469	Africa	35.985	5522.776375
Argentina	1967	22934225	Americas	65.634	8052.953021
Australia	1967	11872264	Oceania	71.1	14526.12465
Austria	1967	7376998	Europe	70.14	12834.6024
Bahrain	1967	202182	Asia	59.923	14804.6727
Bangladesh	1967	62821884	Asia	43.453	721.1860862
Belgium	1967	9556500	Europe	70.94	13149.04119
Benin	1967	2427334	Africa	44.885	1035.831411
Bolivia	1967	4040665	Americas	45.032	2586.886053
Bosnia_and_Herzegovina	1967	3585000	Europe	64.79	2172.352423
Botswana	1967	553541	Africa	53.298	1214.709294
Brazil	1967	88049823	Americas	57.632	3429.864357
Bulgaria	1967	8310226	Europe	70.42	5577.0028
Burkina_Faso	1967	5127935	Africa	40.697	794.8265597
Burundi	1967	3330989	Africa	43.548	412.9775136
Cambodia	1967	6960067	Asia	45.415	523.4323142
Cameroon	1967	6335506	Africa	44.799	1508.453148
Canada	1967	20819767	Americas	72.13	16076.58803
Central_African_Republic	1967	1733638	Africa	41.478	1136.056615
Chad	1967	3495967	Africa	43.601	1196.810565
Chile	1967	8858908	Americas	60.523	5106.654313
China	1967	754550000	Asia	58.38112	612.7056934
Colombia	1967	19764027	Americas	59.963	2678.729839
Comoros	1967	217378	Africa	46.472	1876.029643
Congo,_Dem._Rep.	1967	19941073	Africa	44.056	861.5932424
Congo,_Rep.	1967	1179760	Africa	52.04	2677.939642
Costa_Rica	1967	1588717	Americas	65.424	4161.727834
Cote_d'Ivoire	1967	4744870	Africa	47.35	2052.050473
Croatia	1967	4174366	Europe	68.5	6960.297861
Cuba	1967	8139332	Americas	68.29	5690.268015
Czech_Republic	1967	9835109	Europe	70.38	11399.44489
Denmark	1967	4838800	Europe	72.96	15937.21123
Djibouti	1967	127617	Africa	42.074	3020.050513
Dominican_Republic	1967	4049146	Americas	56.751	1653.723003
Ecuador	1967	5432424	Americas	56.678	4579.074215
Egypt	1967	31681188	Africa	49.293	1814.880728
El_Salvador	1967	3232927	Americas	55.855	4358.595393
Equatorial_Guinea	1967	259864	Africa	38.987	915.5960025
Eritrea	1967	1820319	Africa	42.189	468.7949699
Ethiopia	1967	27860297	Africa	42.115	516.1186438
Finland	1967	4605744	Europe	69.83	10921.63626
France	1967	49569000	Europe	71.55	12999.91766
Gabon	1967	489004	Africa	44.598	8358.761987
Gambia	1967	439593	Africa	35.857	734.7829124
Germany	1967	76368453	Europe	70.8	14745.62561
Ghana	1967	8490213	Africa	48.072	1125.69716
Greece	1967	8716441	Europe	71	8513.097016
Guatemala	1967	4690773	Americas	50.016	3242.531147
Guinea	1967	3451418	Africa	37.197	708.7595409
Guinea-Bissau	1967	601287	Africa	35.492	715.5806402
Haiti	1967	4318137	Americas	46.243	1452.057666
Honduras	1967	2500689	Americas	50.924	2538.269358
Hong_Kong,_China	1967	3722800	Asia	70	6197.962814
Hungary	1967	10223422	Europe	69.5	9326.64467
Iceland	1967	198676	Europe	73.73	13319.89568
India	1967	5.06e+08	Asia	47.193	700.7706107
Indonesia	1967	109343000	Asia	45.964	762.4317721
Iran	1967	26538000	Asia	52.469	5906.731805
Iraq	1967	8519282	Asia	54.459	8931.459811
Ireland	1967	2900100	Europe	71.08	7655.568963
Israel	1967	2693585	Asia	70.75	8393.741404
Italy	1967	52667100	Europe	71.06	10022.40131
Jamaica	1967	1861096	Americas	67.51	6124.703451
Japan	1967	100825279	Asia	71.43	9847.788607
Jordan	1967	1255058	Asia	51.629	2741.796252
Kenya	1967	10191512	Africa	50.654	1056.736457
Korea,_Dem._Rep.	1967	12617009	Asia	59.942	2143.540609
Korea,_Rep.	1967	30131000	Asia	57.716	2029.228142
Kuwait	1967	575003	Asia	64.624	80894.88326
Lebanon	1967	2186894	Asia	63.87	6006.983042
Lesotho	1967	996380	Africa	48.492	498.6390265
Liberia	1967	1279406	Africa	41.536	713.6036483
Libya	1967	1759224	Africa	50.227	18772.75169
Madagascar	1967	6334556	Africa	42.881	1634.047282
Malawi	1967	4147252	Africa	39.487	495.5147806
Malaysia	1967	10154878	Asia	59.371	2277.742396
Mali	1967	5212416	Africa	38.487	545.0098873
Mauritania	1967	1230542	Africa	46.289	1421.145193
Mauritius	1967	789309	Africa	61.557	2475.387562
Mexico	1967	47995559	Americas	60.11	5754.733883
Mongolia	1967	1149500	Asia	51.253	1226.04113
Montenegro	1967	501035	Europe	67.178	5907.850937
Morocco	1967	14770296	Africa	50.335	1711.04477
Mozambique	1967	8680909	Africa	38.113	566.6691539
Myanmar	1967	25870271	Asia	49.379	349
Namibia	1967	706640	Africa	51.159	3793.694753
Nepal	1967	11261690	Asia	41.472	676.4422254
Netherlands	1967	12596822	Europe	73.82	15363.25136
New_Zealand	1967	2728150	Oceania	71.52	14463.91893
Nicaragua	1967	1865490	Americas	51.884	4643.393534
Niger	1967	4534062	Africa	40.118	1054.384891
Nigeria	1967	47287752	Africa	41.04	1014.514104
Norway	1967	3786019	Europe	74.08	16361.87647
