country	year	pop	continent	lifeExp	gdpPercap
Afghanistan	1982	12881816	Asia	39.854	978.0114388
Albania	1982	2780097	Europe	70.42	3630.880722
Algeria	1982	20033753	Africa	61.368	5745.160213
Angola	1982	7016384	Africa	39.942	2756.953672
Argentina	1982	29341374	Americas	69.942	8997.897412
Australia	1982	15184200	Oceania	74.74	19477.00928
Austria	1982	7574613	Europe	73.18	21597.08362
Bahrain	1982	377967	Asia	69.052	19211.14731
Bangladesh	1982	93074406	Asia	50.009	676.9818656
Belgium	1982	9856303	Europe	73.93	20979.84589
Benin	1982	3641603	Africa	50.904	1277.897616
Bolivia	1982	5642224	Americas	53.859	3156.510452
Bosnia_and_Herzegovina	1982	4172693	Europe	70.69	4126.613157
Botswana	1982	970347	Africa	61.484	4551.14215
Brazil	1982	128962939	Americas	63.336	7030.835878
Bulgaria	1982	8892098	Europe	71.08	8224.191647
Burkina_Faso	1982	6634596	Africa	48.122	807.1985855
Burundi	1982	4580410	Africa	47.471	559.603231
Cambodia	1982	7272485	Asia	50.957	624.4754784
Cameroon	1982	9250831	Africa	52.961	2367.983282
Canada	1982	25201900	Americas	75.76	22898.79214
Central_African_Republic	1982	2476971	Africa	48.295	956.7529907
Chad	1982	4875118	Africa	49.517	797.9081006
Chile	1982	11487112	Americas	70.565	5095.665738
China	1982	1000281000	Asia	65.525	962.4213805
Colombia	1982	27764644	Americas	66.653	4397.575659
Comoros	1982	348643	Africa	52.933	1267.100083
Congo,_Dem._Rep.	1982	30646495	Africa	47.784	673.7478181
Congo,_Rep.	1982	1774735	Africa	56.695	4879.507522
Costa_Rica	1982	2424367	Americas	73.45	5262.734751
Cote_d'Ivoire	1982	9025951	Africa	53.983	2602.710169
Croatia	1982	4413368	Europe	70.46	13221.82184
Cuba	1982	9789224	Americas	73.717	7316.918107
Czech_Republic	1982	10303704	Europe	70.96	15377.22855
Denmark	1982	5117810	Europe	74.63	21688.04048
Djibouti	1982	305991	Africa	48.812	2879.468067
Dominican_Republic	1982	5968349	Americas	63.727	2861.092386
Ecuador	1982	8365850	Americas	64.342	7213.791267
Egypt	1982	45681811	Africa	56.006	3503.729636
El_Salvador	1982	4474873	Americas	56.604	4098.344175
Equatorial_Guinea	1982	285483	Africa	43.662	927.8253427
Eritrea	1982	2637297	Africa	43.89	524.8758493
Ethiopia	1982	38111756	Africa	44.916	577.8607471
