country	year	pop	continent	lifeExp	gdpPercap
Afghanistan	1972	13079460	Asia	36.088	739.9811058
Albania	1972	2263554	Europe	67.69	3313.422188
Algeria	1972	14760787	Africa	54.518	4182.663766
Angola	1972	5894858	Africa	37.928	5473.288005
Argentina	1972	24779799	Americas	67.065	9443.038526
Australia	1972	13177000	Oceania	71.93	16788.62948
Austria	1972	7544201	Europe	70.63	16661.6256
Bahrain	1972	230800	Asia	63.3	18268.65839
Bangladesh	1972	70759295	Asia	45.252	630.2336265
Belgium	1972	9709100	Europe	71.44	16672.14356
Benin	1972	2761407	Africa	47.014	1085.796879
Bolivia	1972	4565872	Americas	46.714	2980.331339
Bosnia_and_Herzegovina	1972	3819000	Europe	67.45	2860.16975
Botswana	1972	619351	Africa	56.024	2263.611114
Brazil	1972	100840058	Americas	59.504	4985.711467
Bulgaria	1972	8576200	Europe	70.9	6597.494398
Burkina_Faso	1972	5433886	Africa	43.591	854.7359763
Burundi	1972	3529983	Africa	44.057	464.0995039
Cambodia	1972	7450606	Asia	40.317	421.6240257
Cameroon	1972	7021028	Africa	47.049	1684.146528
Canada	1972	22284500	Americas	72.88	18970.57086
Central_African_Republic	1972	1927260	Africa	43.457	1070.013275
Chad	1972	3899068	Africa	45.569	1104.103987
Chile	1972	9717524	Americas	63.441	5494.024437
China	1972	862030000	Asia	63.11888	676.9000921
Colombia	1972	22542890	Americas	61.623	3264.660041
Comoros	1972	250027	Africa	48.944	1937.577675
Congo,_Dem._Rep.	1972	23007669	Africa	45.989	904.8960685
Congo,_Rep.	1972	1340458	Africa	54.907	3213.152683
Costa_Rica	1972	1834796	Americas	67.849	5118.146939
Cote_d'Ivoire	1972	6071696	Africa	49.801	2378.201111
Croatia	1972	4225310	Europe	69.61	9164.090127
Cuba	1972	8831348	Americas	70.723	5305.445256
Czech_Republic	1972	9862158	Europe	70.29	13108.4536
Denmark	1972	4991596	Europe	73.47	18866.20721
Djibouti	1972	178848	Africa	44.366	3694.212352
Dominican_Republic	1972	4671329	Americas	59.631	2189.874499
Ecuador	1972	6298651	Americas	58.796	5280.99471
Egypt	1972	34807417	Africa	51.137	2024.008147
El_Salvador	1972	3790903	Americas	58.207	4520.246008
Equatorial_Guinea	1972	277603	Africa	40.516	672.4122571
Eritrea	1972	2260187	Africa	44.142	514.3242082
Ethiopia	1972	30770372	Africa	43.515	566.2439442
Finland	1972	4639657	Europe	70.87	14358.8759
France	1972	51732000	Europe	72.38	16107.19171
Gabon	1972	537977	Africa	48.69	11401.94841
Gambia	1972	517101	Africa	38.308	756.0868363
Germany	1972	78717088	Europe	71	18016.18027
Ghana	1972	9354120	Africa	49.875	1178.223708
Greece	1972	8888628	Europe	72.34	12724.82957
Guatemala	1972	5149581	Americas	53.738	4031.408271
Guinea	1972	3811387	Africa	38.842	741.6662307
Guinea-Bissau	1972	625361	Africa	36.486	820.2245876
Haiti	1972	4698301	Americas	48.042	1654.456946
Honduras	1972	2965146	Americas	53.884	2529.842345
Hong_Kong,_China	1972	4115700	Asia	72	8315.928145
Hungary	1972	10394091	Europe	69.76	10168.65611
Iceland	1972	209275	Europe	74.46	15798.06362
India	1972	5.67e+08	Asia	50.651	724.032527
Indonesia	1972	121282000	Asia	49.203	1111.107907
